Customer_ID,Customer_name,Category_of_product,Product_name,Customer_city,Customer_state,Customer_country,Customer_region,Delivery_status,Order_date,Order_ID,Ship_date,Order_item_discount,Sales_per_order,Order_quantity,Profit_per_order,Unnamed: 16,Customer_segment,Shipping_type,Actual_shipping_delay,Profit_margin,Order_year,Order_month,Order_weekday,Returning_customer,Shipping_category
3312.0,Douglas Crane,Sports,Basketball,Dixonhaven,Illinois,USA,East,Delivered,2024-10-11,546565.0,2024-10-14,0.73,744.61,3.0,368.07,,Corporate,Second Class,3,0.4943124588710869,2024,2024-10,Friday,False,Fast
5242.0,Jonathan Barton,Home & Kitchen,Vacuum Cleaner,East Michaelmouth,Florida,USA,West,In Transit,2024-11-10,832364.0,2024-11-14,6.91,90.13,1.0,32.06,,Corporate,Second Class,4,0.355708421169422,2024,2024-11,Sunday,False,Moderate
5852.0,Mark Martinez,Clothing,T-Shirt,West Mitchell,California,USA,North,Cancelled,2025-01-11,460378.0,2025-01-17,12.77,538.74,2.0,77.99,,Consumer,Standard Class,6,0.1447637079110517,2025,2025-01,Saturday,False,Moderate
5708.0,Samantha Christian,Clothing,Shoes,Port Katelyn,Florida,USA,East,Cancelled,2025-01-29,825166.0,2025-01-30,48.09,258.49,3.0,69.57,,Corporate,Second Class,1,0.2691400054160702,2025,2025-01,Wednesday,False,Fast
1955.0,Gary Clay,Clothing,Sweater,New Tomview,California,USA,North,In Transit,2024-11-27,562424.0,2024-12-02,42.04,253.16,3.0,121.61,,Home Office,First Class,5,0.4803681466266393,2024,2024-11,Wednesday,False,Moderate
7702.0,Michael Stevens,Beauty,Moisturizer,Lake Johnton,Illinois,USA,East,Cancelled,2024-11-12,221274.0,2024-11-18,12.95,644.83,3.0,105.22,,Home Office,Standard Class,6,0.16317479025479584,2024,2024-11,Tuesday,False,Moderate
6367.0,Katherine Reese,Clothing,Jacket,Hawkinsfurt,Florida,USA,East,Delivered,2024-04-03,896696.0,2024-04-11,17.33,1221.16,4.0,251.42,,Home Office,Standard Class,8,0.2058862065576992,2024,2024-04,Wednesday,False,Delayed
1443.0,Elizabeth Jackson,Clothing,Jeans,Davenportville,New York,USA,East,In Transit,2024-08-28,810863.0,2024-08-29,21.4,909.08,2.0,267.75,,Corporate,Standard Class,1,0.2945285343424121,2024,2024-08,Wednesday,False,Fast
5914.0,Keith Morton,Home & Kitchen,Toaster,New Jennifer,Florida,USA,West,Cancelled,2024-12-13,883666.0,2024-12-14,36.38,1445.05,3.0,586.92,,Home Office,Standard Class,1,0.4061589564374935,2024,2024-12,Friday,False,Fast
2399.0,Kimberly Mitchell,Home & Kitchen,Coffee Maker,Edwardborough,Illinois,USA,East,Delivered,2024-03-16,696709.0,2024-03-24,47.27,1467.57,4.0,182.94,,Home Office,Standard Class,8,0.12465504200821767,2024,2024-03,Saturday,False,Delayed
